CCCM_IDP_Site_Code,Region,District,IDP_Site,Latitude,Longitude
CCCM-SO2802-0040,Lower Juba,Afmadow,Hiraan,0.5209413,42.0943621
CCCM-SO2802-0035,Lower Juba,Afmadow,Hodan,0.4182698,40.9977643
CCCM-SO2802-0030,Lower Juba,Afmadow,Kaxda Nabada,0.5208317,42.0798513
CCCM-SO2802-0043,Lower Juba,Afmadow,Othogoye,0.5148424,42.0813818
CCCM-SO2802-0044,Lower Juba,Afmadow,Sakow,0.52106,42.0918133
CCCM-SO2802-0031,Lower Juba,Afmadow,Soya,0.5212899,42.0930393
CCCM-SO2802-0032,Lower Juba,Afmadow,Yaaq,0.5246416,42.0872319
CCCM-SO2602-0004,Gedo,Baardheere,Al Aamin,2.3581973,42.2693767
CCCM-SO2602-0005,Gedo,Baardheere,Albaraka,2.3525195,42.3017714
CCCM-SO2602-0113,Gedo,Baardheere,Baaleey,2.3259863,42.2948503
CCCM-SO2602-0100,Gedo,Baardheere,Badbaado,2.3543265,42.2777009
CCCM-SO2602-0101,Gedo,Baardheere,Bakal,2.3516783,42.2663783
CCCM-SO2602-0132,Gedo,Baardheere,Bandar,2.3125926,42.2767047
CCCM-SO2602-0027,Gedo,Baardheere,Barkulan,2.3442776,42.2816923
CCCM-SO2602-0114,Gedo,Baardheere,Barwaaqo,2.3210245,42.2738565
CCCM-SO2602-0006,Gedo,Baardheere,Bulo Geedi,2.319774,42.2770659
CCCM-SO2602-0008,Gedo,Baardheere,Bulsho,2.34451,42.3041033
CCCM-SO2602-0134,Gedo,Baardheere,Camp Biroole,2.3696983,42.278
CCCM-SO2602-0115,Gedo,Baardheere,Daarusalam,2.3492014,42.2649393
CCCM-SO2602-0103,Gedo,Baardheere,Danleey,2.3252671,42.2776979
CCCM-SO2602-0116,Gedo,Baardheere,Danyar,2.3088589,42.282548
CCCM-SO2602-0117,Gedo,Baardheere,Dulmidiid,2.3361899,42.2997368
CCCM-SO2602-0104,Gedo,Baardheere,Fulayley,2.3251131,42.2907953
CCCM-SO2602-0013,Gedo,Baardheere,Gadude,2.3470076,42.3004774
CCCM-SO2602-0014,Gedo,Baardheere,Garasley,2.3282731,42.2931663
CCCM-SO2602-0118,Gedo,Baardheere,Gargaar,2.3505446,42.2959025
CCCM-SO2602-0015,Gedo,Baardheere,Guled,2.321598,42.2886657
CCCM-SO2602-0135,Gedo,Baardheere,Guul wade,2.3453549,42.2664384
CCCM-SO2602-0003,Gedo,Baardheere,Habaal Adey,2.3318979,42.2999799
CCCM-SO2602-0119,Gedo,Baardheere,Hayan,2.3292266,42.2942612
CCCM-SO2602-0136,Gedo,Baardheere,Hilaac,2.3461562,42.2968892
CCCM-SO2602-0017,Gedo,Baardheere,Hogol,2.3330237,42.2936441
CCCM-SO2602-0121,Gedo,Baardheere,Horseed,2.3380393,42.2713087
CCCM-SO2602-0024,Gedo,Baardheere,Horyaal,2.3501896,42.2984758
CCCM-SO2602-0105,Gedo,Baardheere,Iftin,2.3478392,42.3050806
CCCM-SO2602-0123,Gedo,Baardheere,Ileys,2.3216914,42.2753004
CCCM-SO2602-0002,Gedo,Baardheere,Jameca,2.3527553,42.3051706
CCCM-SO2602-0124,Gedo,Baardheere,Jirih,2.359155,42.2760432
CCCM-SO2602-0106,Gedo,Baardheere,Juba,2.3207923,42.2757893
CCCM-SO2602-0125,Gedo,Baardheere,Juba Baraawa,2.3154789,42.274113
CCCM-SO2602-0108,Gedo,Baardheere,Kaydsaney,2.323151,42.2837916
CCCM-SO2602-0019,Gedo,Baardheere,Kulan,2.3275582,42.2978743
CCCM-SO2602-0020,Gedo,Baardheere,Kulimye Centre,2.3393096,42.2896886
CCCM-SO2602-0035,Gedo,Baardheere,Liban,2.324544,42.2899175
CCCM-SO2602-0021,Gedo,Baardheere,Madina,2.3439666,42.2705544
CCCM-SO2602-0110,Gedo,Baardheere,Muruqmaal,2.308043,42.2800613
CCCM-SO2602-0111,Gedo,Baardheere,Najax,2.3438877,42.2665532
CCCM-SO2602-0137,Gedo,Baardheere,Returnees,2.3162595,42.2801591
CCCM-SO2602-0010,Gedo,Baardheere,Shabeel,2.3435116,42.3014377
CCCM-SO2602-0127,Gedo,Baardheere,Tawakal,2.3561519,42.2733928
CCCM-SO2602-0128,Gedo,Baardheere,Towfiq,2.3675985,42.2746604
CCCM-SO2602-0022,Gedo,Baardheere,Tuwerey,2.3441117,42.3027283
CCCM-SO2602-0023,Gedo,Baardheere,Waabari,2.3552875,42.2961683
CCCM-SO2602-0129,Gedo,Baardheere,Wardher,2.3347242,42.2944861
CCCM-SO2602-0011,Gedo,Baardheere,Warsan,2.3134789,42.2778411
CCCM-SO2602-0130,Gedo,Baardheere,Yama Ruglay,2.3614464,42.2866779
CCCM-SO2401-0001,Bay,Baidoa,11-Janaay-1,3.0927611,43.63488
CCCM-SO2401-0002,Bay,Baidoa,11-Janaay-2,3.0918301,43.6230441
CCCM-SO2401-0911,Bay,Baidoa,Aamanow,3.0847457,43.6231301
CCCM-SO2401-0813,Bay,Baidoa,Aanoley,3.0882153,43.6248578
CCCM-SO2401-0878,Bay,Baidoa,Aashow,3.1405315,43.6661642
CCCM-SO2401-0814,Bay,Baidoa,Abag Neebsoy,3.08928,43.6233821
CCCM-SO2401-0009,Bay,Baidoa,Abal-1,3.1430997,43.6603448
CCCM-SO2401-0010,Bay,Baidoa,Abal-5,3.15419287,43.67623133
CCCM-SO2401-0879,Bay,Baidoa,Abaq Dheere,3.1374262,43.66009639
CCCM-SO2401-0599,Bay,Baidoa,Abduruk,3.0852515,43.6203027
CCCM-SO2401-0012,Bay,Baidoa,Aboore,3.1143187,43.6319452
CCCM-SO2401-0695,Bay,Baidoa,Aburow,3.2121243,43.1908217
CCCM-SO2401-0709,Bay,Baidoa,Adaayimow,3.1376854,43.6349752
CCCM-SO2401-0696,Bay,Baidoa,Adable Gunre,3.2063699,43.2043229
CCCM-SO2401-1662,Bay,Baidoa,Adable Oomane,3.1023141,43.6615951
CCCM-SO2401-0912,Bay,Baidoa,Adable Weyne,3.0807555,43.6207242
CCCM-SO2401-0913,Bay,Baidoa,Adadle Cade,3.1025214,43.6620096
CCCM-SO2401-0815,Bay,Baidoa,Adan Goley,3.1372821,43.636617
CCCM-SO2401-0016,Bay,Baidoa,Adan Yare,3.0803522,43.6199133
CCCM-SO2401-0017,Bay,Baidoa,Adc Kulan Yare,3.09495678,43.63945167
CCCM-SO2401-0018,Bay,Baidoa,Adc-1,3.0729153,43.6182189
CCCM-SO2401-0019,Bay,Baidoa,Adc-2,3.09448264,43.63764827
CCCM-SO2401-0021,Bay,Baidoa,Adc-3,3.0890889,43.6372989
CCCM-SO2401-0022,Bay,Baidoa,Adc-4,3.0959339,43.6397733
CCCM-SO2401-0023,Bay,Baidoa,Adc-5,3.0938823,43.627422
CCCM-SO2401-0024,Bay,Baidoa,Adii Garaar,3.1335983,43.6638807
CCCM-SO2401-0025,Bay,Baidoa,Afmadow,3.0906634,43.6263622
CCCM-SO2401-0028,Bay,Baidoa,Al Aamin,3.2094493,43.19192486
CCCM-SO2401-0030,Bay,Baidoa,Al-Baraka,3.1140729,43.6346827
CCCM-SO2401-0031,Bay,Baidoa,Al-Baraka 2,3.0925047,43.6287052
CCCM-SO2401-0914,Bay,Baidoa,Alfatax,3.085612,43.6244621
CCCM-SO2401-0033,Bay,Baidoa,Al-Furqan-2,3.116261,43.6342348
CCCM-SO2401-0034,Bay,Baidoa,Al-Furqan-3,3.1170128,43.6285272
CCCM-SO2401-0035,Bay,Baidoa,Ali Gaale,3.0880625,43.631935
CCCM-SO2401-0039,Bay,Baidoa,All Xamdu,3.2070257,43.202344
CCCM-SO2401-0816,Bay,Baidoa,Alla Aaamin Indhoolayaasha,3.0926658,43.6227495
CCCM-SO2401-0041,Bay,Baidoa,Alla Magan,3.1340352,43.6576952
CCCM-SO2401-0817,Bay,Baidoa,Alla Qadari,3.0890526,43.6224309
CCCM-SO2401-0042,Bay,Baidoa,Alla Suge-1,3.1273642,43.6577711
CCCM-SO2401-0044,Bay,Baidoa,Alla Tuug,3.1000015,43.6438108
CCCM-SO2401-0046,Bay,Baidoa,Allah Umaqan,3.1381267,43.675005
CCCM-SO2401-0048,Bay,Baidoa,Alle Qabe,3.1492077,43.667278
CCCM-SO2401-0818,Bay,Baidoa,Amiin Alle,3.1440665,43.6369048
CCCM-SO2401-0697,Bay,Baidoa,Araan,3.2137562,43.1879727
CCCM-SO2401-0819,Bay,Baidoa,Arooswiini,3.0879413,43.6246259
CCCM-SO2401-0053,Bay,Baidoa,Asha Ki Dhali,3.1025088,43.6592449
CCCM-SO2401-0054,Bay,Baidoa,Asharow Jawari,3.1066249,43.6770534
CCCM-SO2401-0820,Bay,Baidoa,Awa Derow,3.0913075,43.631597
CCCM-SO2401-0056,Bay,Baidoa,Awal Barwaqo,3.13914,43.6676991
CCCM-SO2401-0772,Bay,Baidoa,Awdinle,3.2208096,43.1893404
CCCM-SO2401-0058,Bay,Baidoa,Awo Asharo-1,3.1016095,43.660665
CCCM-SO2401-0060,Bay,Baidoa,Awoodimow,3.1412396,43.6683056
CCCM-SO2401-0698,Bay,Baidoa,Baagay,3.2210798,43.2054253
CCCM-SO2401-0794,Bay,Baidoa,Baar Dufle,3.1304134,43.6761659
CCCM-SO2401-0915,Bay,Baidoa,Baarbadan,3.0900402,43.6380588
CCCM-SO2401-0065,Bay,Baidoa,Baaruud Xaanshi,3.1023457,43.6581295
CCCM-SO2401-0710,Bay,Baidoa,Baas Ma'Arke,3.0990876,43.6344427
CCCM-SO2401-0067,Bay,Baidoa,Badanbadey,3.1058321,43.6603723
CCCM-SO2401-0699,Bay,Baidoa,Badbaado,3.2182798,43.1938814
CCCM-SO2401-0822,Bay,Baidoa,Bakaar Shiid,3.0875061,43.6214229
CCCM-SO2401-0071,Bay,Baidoa,Bakal Gaduud,3.0854561,43.6258542
CCCM-SO2401-0711,Bay,Baidoa,Bakal Laabow 1,3.114692,43.6273972
CCCM-SO2401-0712,Bay,Baidoa,Bakal Sheli,3.1309233,43.6316751
CCCM-SO2401-0700,Bay,Baidoa,Bakale,3.2042957,43.1962511
CCCM-SO2401-0077,Bay,Baidoa,Bakaro,3.20409026,43.19862868
CCCM-SO2401-0078,Bay,Baidoa,Bakool-1,3.1307732,43.6772304
CCCM-SO2401-0080,Bay,Baidoa,Baladul Amin,3.21194749,43.18766964
CCCM-SO2401-0627,Bay,Baidoa,Balanbaale,3.1550103,43.6718165
CCCM-SO2401-0082,Bay,Baidoa,Balanbasha,3.0922399,43.6254387
CCCM-SO2401-0916,Bay,Baidoa,Balow Kai,3.0861329,43.6254575
CCCM-SO2401-0087,Bay,Baidoa,Ban Sadiiq,3.1260075,43.6743748
CCCM-SO2401-0088,Bay,Baidoa,Banaadir,3.15458336,43.67699922
CCCM-SO2401-0089,Bay,Baidoa,Banaadir,3.0875887,43.6303397
CCCM-SO2401-0092,Bay,Baidoa,Banbusul,3.140417,43.6605953
CCCM-SO2401-0647,Bay,Baidoa,Bandhuub,3.08959601,43.63142695
CCCM-SO2401-0094,Bay,Baidoa,Banow,3.0903591,43.6247203
CCCM-SO2401-0883,Bay,Baidoa,Bansaable,3.14095645,43.66312386
CCCM-SO2401-0796,Bay,Baidoa,Bansuuf 2,3.1282923,43.6712597
CCCM-SO2401-0095,Bay,Baidoa,Banyal,3.1046807,43.659695
CCCM-SO2401-0096,Bay,Baidoa,Baqaley Riibe,3.1302808,43.6775073
CCCM-SO2401-0097,Bay,Baidoa,Baqaley Riibi,3.1390986,43.6600383
CCCM-SO2401-0823,Bay,Baidoa,Bar Baare,3.092849,43.6243604
CCCM-SO2401-0797,Bay,Baidoa,Baraka,3.1018249,43.6613499
CCCM-SO2401-0098,Bay,Baidoa,Barakaley,3.1287348,43.6755574
CCCM-SO2401-0099,Bay,Baidoa,Barariye,3.1031984,43.658276
CCCM-SO2401-0715,Bay,Baidoa,Barbaarow Dhumiik,3.089369,43.6253662
CCCM-SO2401-0103,Bay,Baidoa,Barhanooy,3.1466794,43.6609769
CCCM-SO2401-0884,Bay,Baidoa,Bariyow,3.1390986,43.6604691
CCCM-SO2401-0110,Bay,Baidoa,Barwaqo,3.1186742,43.6329279
CCCM-SO2401-0111,Bay,Baidoa,Barwaqo,3.2181849,43.1916248
CCCM-SO2401-0112,Bay,Baidoa,Bas Maleh,3.149185,43.6718004
CCCM-SO2401-0114,Bay,Baidoa,Baygaduud,3.1171147,43.6296438
CCCM-SO2401-0824,Bay,Baidoa,Baygaduud,3.2223135,43.1885104
CCCM-SO2401-0917,Bay,Baidoa,Bayka Gaduud,3.1031321,43.6596484
CCCM-SO2401-0799,Bay,Baidoa,Baynun,3.1316133,43.6814673
CCCM-SO2401-0716,Bay,Baidoa,Bayow,3.094535703,43.62704393
CCCM-SO2401-0115,Bay,Baidoa,Beer Dhinbil 2,3.15618187,43.67424655
CCCM-SO2401-0116,Bay,Baidoa,Beer Dhinbil 3,3.1451517,43.6692256
CCCM-SO2401-0117,Bay,Baidoa,Beer Shibeele,3.1290647,43.6763066
CCCM-SO2401-0825,Bay,Baidoa,Beereyjeg,3.1387844,43.6316095
CCCM-SO2401-0826,Bay,Baidoa,Beerlamow,3.1395683,43.6315173
CCCM-SO2401-0118,Bay,Baidoa,Beladul Amin 2,3.0807067,43.6246983
CCCM-SO2401-0120,Bay,Baidoa,Berdale Ayle,3.1029484,43.6589669
CCCM-SO2401-0717,Bay,Baidoa,Bilal,3.0932934,43.625768
CCCM-SO2401-0122,Bay,Baidoa,Bilan Abees 2,3.116599,43.6281396
CCCM-SO2401-0779,Bay,Baidoa,Birigey,3.0917238,43.6277074
CCCM-SO2401-0886,Bay,Baidoa,Biroole,3.1332528,43.6638833
CCCM-SO2401-0126,Bay,Baidoa,Bodaan-1,3.1353668,43.6303697
CCCM-SO2401-0127,Bay,Baidoa,Bodaan-2,3.1375606,43.6296706
CCCM-SO2401-0129,Bay,Baidoa,Bohul,3.1359995,43.6597888
CCCM-SO2401-0131,Bay,Baidoa,Boorami Lawiile,3.1465381,43.6665796
CCCM-SO2401-0828,Bay,Baidoa,Borow,3.1447658,43.642788
CCCM-SO2401-0133,Bay,Baidoa,Bula Gaduud,3.21414313,43.19235322
CCCM-SO2401-0919,Bay,Baidoa,Bula Garas,3.0854493,43.6240492
CCCM-SO2401-0135,Bay,Baidoa,Bula Sokor,3.0932305,43.6296429
CCCM-SO2401-0136,Bay,Baidoa,Buli Fuur Ooflow,3.0914203,43.6282559
CCCM-SO2401-0701,Bay,Baidoa,Bulo Gurun,3.208262,43.1938278
CCCM-SO2401-0138,Bay,Baidoa,Bulsho,3.21203767,43.19955578
CCCM-SO2401-0139,Bay,Baidoa,Burey Manas,3.1317006,43.6672475
CCCM-SO2401-0702,Bay,Baidoa,Buruqle,3.2222517,43.1884833
CCCM-SO2401-0140,Bay,Baidoa,Busley,3.2088337,43.2031938
CCCM-SO2401-0141,Bay,Baidoa,Busta,3.090796,43.6289529
CCCM-SO2401-0142,Bay,Baidoa,Buula Aamin,3.1091858,43.6584137
CCCM-SO2401-0143,Bay,Baidoa,Buula Berde,3.1187433,43.6293903
CCCM-SO2401-0144,Bay,Baidoa,Buula Busley,3.0929726,43.6269193
CCCM-SO2401-0146,Bay,Baidoa,Buula Fulay,3.144978,43.6679289
CCCM-SO2401-0147,Bay,Baidoa,Buula Issack,3.1476822,43.6687375
CCCM-SO2401-0148,Bay,Baidoa,Buula Nuuri-1,3.103684,43.6624346
CCCM-SO2401-0151,Bay,Baidoa,Buula Usley-2,3.1086655,43.6572446
CCCM-SO2401-0152,Bay,Baidoa,Buula Usley-3,3.1102209,43.6536496
CCCM-SO2401-0663,Bay,Baidoa,Buulcadey,3.1335586,43.6778224
CCCM-SO2401-0153,Bay,Baidoa,Buule Fuur,3.1404551,43.6764302
CCCM-SO2401-0829,Bay,Baidoa,Buule Gablay,3.1344707,43.6354765
CCCM-SO2401-0765,Bay,Baidoa,Buuli Dooy,3.1061159,43.662282
CCCM-SO2401-0830,Bay,Baidoa,Buuli Yuurur,3.0895689,43.6234427
CCCM-SO2401-0720,Bay,Baidoa,Buulishiid,3.0913103,43.6265633
CCCM-SO2401-0664,Bay,Baidoa,Buulo Bisig,3.133012787,43.67748748
CCCM-SO2401-0831,Bay,Baidoa,Buulo Biyooley,3.0936717,43.6232535
CCCM-SO2401-0158,Bay,Baidoa,Buulo Duuf,3.090406,43.6305735
CCCM-SO2401-0648,Bay,Baidoa,Buulo Gumar- 1,3.08061,43.6242083
CCCM-SO2401-0161,Bay,Baidoa,Buulo Gumar-2,3.071635,43.6195561
CCCM-SO2401-0887,Bay,Baidoa,Buulo Hubey,3.1402473,43.6607689
CCCM-SO2401-0721,Bay,Baidoa,Buulo Jaay ,3.093517,43.6234473
CCCM-SO2401-0801,Bay,Baidoa,Buulo Keerow,3.1327951,43.6819067
CCCM-SO2401-0833,Bay,Baidoa,Buulo Mariin,3.0940317,43.6240008
CCCM-SO2401-0167,Bay,Baidoa,Buulo Sheeb-2,3.1020733,43.6572626
CCCM-SO2401-0722,Bay,Baidoa,Buuloneebsin,3.0849729,43.6220766
CCCM-SO2401-0168,Bay,Baidoa,Buur Edoy,3.1369833,43.6303827
CCCM-SO2401-0169,Bay,Baidoa,Buur Eeyle-2,3.130933,43.6776044
CCCM-SO2401-0171,Bay,Baidoa,Buur Fuule 1,3.1390157,43.6621122
CCCM-SO2401-0173,Bay,Baidoa,Buur Gaduud,3.0847017,43.6224573
CCCM-SO2401-0177,Bay,Baidoa,Buur Heybe,3.1383281,43.6604754
CCCM-SO2401-0178,Bay,Baidoa,Buur Iyo Shabelow,3.1043618,43.6621795
CCCM-SO2401-0179,Bay,Baidoa,Buur Midowe,3.128522,43.6768069
CCCM-SO2401-0181,Bay,Baidoa,Buurfuule Shibelow,3.1300947,43.6742517
CCCM-SO2401-0667,Bay,Baidoa,Buurow Sarmaaned,3.125762,43.6743311
CCCM-SO2401-0834,Bay,Baidoa,Camp Qasaxdheeri,3.0887018,43.621932
CCCM-SO2401-0835,Bay,Baidoa,Ceel Duug,3.0890565,43.6232358
CCCM-SO2401-0836,Bay,Baidoa,Ceel Haymi,3.0896338,43.6239059
CCCM-SO2401-0723,Bay,Baidoa,Ceel Laxeli,3.1390487,43.6374401
CCCM-SO2401-0185,Bay,Baidoa,Ceel Qarar,3.08779411,43.63261684
CCCM-SO2401-0186,Bay,Baidoa,Ceelberde 2,3.1317721,43.675505
CCCM-SO2401-0703,Bay,Baidoa,Coonjir,3.212787,43.188292
CCCM-SO2401-0188,Bay,Baidoa,Dabolow 1,3.1282978,43.6731818
CCCM-SO2401-0191,Bay,Baidoa,Dahaale,3.1314258,43.6772661
CCCM-SO2401-0192,Bay,Baidoa,Dakana Diid-1,3.1590463,43.6733917
CCCM-SO2401-0194,Bay,Baidoa,Dalandole-3,3.15602279,43.67804501
CCCM-SO2401-0196,Bay,Baidoa,Daldaley,3.0909269,43.629543
CCCM-SO2401-0197,Bay,Baidoa,Dambal Caalam,3.1522965,43.6767363
CCCM-SO2401-0198,Bay,Baidoa,Danbaley,3.092496,43.6276752
CCCM-SO2401-0200,Bay,Baidoa,Danwadaag,3.2195456,43.2075727
CCCM-SO2401-0669,Bay,Baidoa,Darib Bashiir,3.1023071,43.6650106
CCCM-SO2401-0201,Bay,Baidoa,Darusalaam-1,3.1403483,43.6623471
CCCM-SO2401-0202,Bay,Baidoa,Daryeel,3.1279097,43.67443833
CCCM-SO2401-0837,Bay,Baidoa,Daryeel,3.0849977,43.6201006
CCCM-SO2401-0670,Bay,Baidoa,Daryel Bulsho,3.1039183,43.6754283
CCCM-SO2401-0204,Bay,Baidoa,Da'Udow,3.1037014,43.6577092
CCCM-SO2401-0671,Bay,Baidoa,Dayniile,3.1273796,43.68187
CCCM-SO2401-0606,Bay,Baidoa,Deeb Wiine,3.0952207,43.6316498
CCCM-SO2401-0607,Bay,Baidoa,Deg Galoole,3.0917481,43.6263075
CCCM-SO2401-0673,Bay,Baidoa,Degamur Bay,3.130573,43.6770877
CCCM-SO2401-0207,Bay,Baidoa,Degdacar,3.1272782,43.6789498
CCCM-SO2401-0839,Bay,Baidoa,Dhanfarur,3.082255,43.6198667
CCCM-SO2401-0783,Bay,Baidoa,Dheriyow,3.1410833,43.6646493
CCCM-SO2401-0724,Bay,Baidoa,Dhiila,3.137505,43.63299986
CCCM-SO2401-0209,Bay,Baidoa,Dhinaawe,3.128481667,43.67588667
CCCM-SO2401-0210,Bay,Baidoa,Dhur Iyo Qalin,3.1409784,43.6757334
CCCM-SO2401-0675,Bay,Baidoa,Dhurshenlow Bari,3.10778773,43.66692402
CCCM-SO2401-0888,Bay,Baidoa,Dhuugsoy,3.1387201,43.6674984
CCCM-SO2401-0212,Bay,Baidoa,Dini Doog,3.1433375,43.632238
CCCM-SO2401-0213,Bay,Baidoa,Dolow-2,3.0935671,43.6299038
CCCM-SO2401-0214,Bay,Baidoa,Dooday,3.117658,43.6291246
CCCM-SO2401-0593,Bay,Baidoa,Doon Dherow,3.1293346,43.6730291
CCCM-SO2401-0608,Bay,Baidoa,Doon Waraabi,3.1465134,43.6351803
CCCM-SO2401-0725,Bay,Baidoa,Dooriyaanle,3.0883857,43.6235856
CCCM-SO2401-0218,Bay,Baidoa,Dooy,3.0942002,43.6354555
CCCM-SO2401-0219,Bay,Baidoa,Dooy Gaab 1,3.1045555,43.662855
CCCM-SO2401-0220,Bay,Baidoa,Dooy Gaab 2,3.104837,43.6596833
CCCM-SO2401-0221,Bay,Baidoa,Dooyow Dareerfeyli,3.1038181,43.6594692
CCCM-SO2401-0222,Bay,Baidoa,Doy Gaabey,3.0894695,43.6266726
CCCM-SO2401-0223,Bay,Baidoa,Dubi Gas,3.1521741,43.6720898
CCCM-SO2401-0225,Bay,Baidoa,Duduma Kale,3.1403687,43.6633606
CCCM-SO2401-0226,Bay,Baidoa,Dudumaale,3.0915625,43.6350304
CCCM-SO2401-0228,Bay,Baidoa,Dugsiilo-2,3.131958333,43.67705333
CCCM-SO2401-0841,Bay,Baidoa,Dugule,3.088542,43.6250694
CCCM-SO2401-0773,Bay,Baidoa,Dulmuruq,3.2203533,43.2113781
CCCM-SO2401-0231,Bay,Baidoa,Dusti,3.09789,43.6338383
CCCM-SO2401-0766,Bay,Baidoa,Duugsoy,3.0803888,43.6210927
CCCM-SO2401-0233,Bay,Baidoa,Duurey,3.0890079,43.6277751
CCCM-SO2401-0235,Bay,Baidoa,Edkiyaal,3.1439442,43.6320085
CCCM-SO2401-0804,Bay,Baidoa,Eeg Iyo Ali Mumun,3.129929379,43.68044562
CCCM-SO2401-0767,Bay,Baidoa,Eel Lahelow,3.1014974,43.6594195
CCCM-SO2401-0237,Bay,Baidoa,Eesow,3.093534,43.6269867
CCCM-SO2401-0238,Bay,Baidoa,Eesow 2,3.087345,43.6266683
CCCM-SO2401-0239,Bay,Baidoa,El Bay 1,3.0908081,43.6295549
CCCM-SO2401-0240,Bay,Baidoa,El Heji,3.1253812,43.6747832
CCCM-SO2401-0241,Bay,Baidoa,Elbashiir,3.1043916,43.65967
CCCM-SO2401-0244,Bay,Baidoa,Elbet-1,3.091398,43.6229522
CCCM-SO2401-0750,Bay,Baidoa,Elboon,3.1456843,43.6550631
CCCM-SO2401-0182,Bay,Baidoa,Eyle,3.2201512,43.2115862
CCCM-SO2401-0248,Bay,Baidoa,Faanoole 2,3.1031229,43.6635065
CCCM-SO2401-0251,Bay,Baidoa,Fathu-Rahman,3.1401377,43.6669572
CCCM-SO2401-0632,Bay,Baidoa,Fulaay Dheer,3.1342855,43.6653471
CCCM-SO2401-0252,Bay,Baidoa,Fuur Ayli,3.1060246,43.6680812
CCCM-SO2401-0843,Bay,Baidoa,Gabaa Degsoy,3.1461379,43.6379643
CCCM-SO2401-0255,Bay,Baidoa,Gal Gal Weyn 2,3.1313507,43.67884
CCCM-SO2401-0256,Bay,Baidoa,Galgal Onle-2,3.128786667,43.67782833
CCCM-SO2401-0257,Bay,Baidoa,Galgal Weyn,3.1068575,43.6664803
CCCM-SO2401-0259,Bay,Baidoa,Galooshe,3.1030872,43.6568945
